link,teacher_type,is_native,languages,about_info,since_date,main_info,country_from,country_living,rating,students_num,lessons_num,attendance,response,target,teacher_style,lessons_style,resume,reviews_num
https://www.italki.com/en/teacher/10465655/english,COMMUNITY TUTOR,"Teaches
English
Native","['Zulu', 'Other']","Hi there! My name is Desiree, I'm 23 years old, and I'm from South Africa. I have a Bachelor's degree in English Literature and I'm on iTalki because I love teaching English to others! I enjoy learning about different people and their cultures. I am an open-minded individual who likes having conversations about different topics. My interests and hobbies include reading books, watching movies & series, philosophy, and sociology.","italki teacher since Sep 22, 2021",Bachelor of Arts English studies graduate/ TEFL Certified,From South Africa,"Living in Emnambithi/Ladysmith, South Africa (12:10 UTC+02:00)",5.0,47,262,100%,100%,USD 5.00,"As a tutor, I prioritize having conversations with students that not only aims to educate but also to get them comfortable and confident in their speech. Becoming fluent is the goal! Learning a new language can be difficult, and I put this into consideration. Therefore, I am a good listener who is also patient, understanding, and kind. I believe in positive encouragement to help the student along their journey. I put the student's needs as my priority throughout the whole learning experience, regardless of whether or not the student's needs change along the way.","My lesson and teaching style is mostly through guided conversation. I strongly believe that one learns best when they can be open and comfortable talking freely to another person. I love to try out new and fun ways to teach others while still ensuring that they learn as much as possible. I will be conducting some of my lessons through presentation slides/PPT, quizzes, articles, and text documents. However, I will keep an open mind to accommodate the student's learning style if and when necessary. Or, we could freestyle and you can tell me how your day is going! (Basic grammar lessons are also available as per the student's needs.)","2022 - Present
Bachelor's - English
University of KwaZulu-Natal
File uploaded",18 Reviews
https://www.italki.com/en/teacher/3172828/english,PROFESSIONAL TEACHER,"Teaches
English
Native","['Greek', 'French', 'Italian', 'Russian']","I am a pedagogist and ESL teacher (English as a second language) as well as a primary and secondary school teacher. My hometown is New York City and this is where I was born and grew up and studied. It is the city and home that I love but I also have a second place I call home - Athens, Greece - where I currently reside.  My passions are ideas and sharing ideas that we are surrounded by.","italki teacher since Apr 11, 2022","Find joy, become confident and revel in the learning and exploring of English !",From United States,"Living in Athens, Greece (12:10 UTC+02:00)",5.0,27,84,99%,99%,USD 8.00,"I have taught hundreds of adults and kids and have over 22,000hrs experience. This is because I enjoy building people's confidence and bliss.

My teaching style is both simple and challenging - but it is the kind of challenge that excites and fuels people’s desire for more.  

As a teacher, my #1 goal is for you to feel good in learning ways to express yourself in English. This will lead you to true confidence and success.

I like to use imaginative materials (sci-fi and fantasy like Lord of the Rings, the Matrix, and many more) and historical and literary sources that attract and excite you!

The true measure of language joy is inside you - I hope to animate English for you!","The dialogical approach and coaching approach
Dialogue is the way ideas from the beginning of time have been expressed and shared amongst people from any part of the world: Expressing something - listening - thinking - responding - and vice versa from the other participant. It is both simple because we do it every day - and it is challenging when you try to say something new or something in a new way. 

The other method I use is to prepare and coach you with genuine expression - it doesn't matter if you are a total beginner or a fluent non-native speaker. Much like a sports coach or acting coach!

I will empower, deepen and enliven your experience of living in English!","2021 - 2022
Teacher Elevate K-12
Elevate K-12 - Chicago, United States
I teach primary and secondary school students in a variety of subjects from ELA / Math / History / Social Studies / Biology. The classes are public school classes in need of a substitute teacher or intervention teacher to help the students maintain and grow their understanding of the subject material and grow their confidence in learning in general.
2021 - 2022
Teacher Tutorfly
Tutorfly - Phoenix, United States",9 Reviews
https://www.italki.com/en/teacher/8144652/english,PROFESSIONAL TEACHER,"Teaches
English
Native","['Italian', 'French', 'Japanese']","My name is James and I come from Toronto, in Canada. 

🔴 I am TEFL certified
🟠 I have 4 years of teaching experience with adults and young learners
🟢 I am a native English speaker from Canada
🔵 I love to travel and learn about other cultures
🟣 I love to play piano
🟡  I have two cats🐱🐱 and one dog🐶","italki teacher since May 28, 2021","Fun, educational, individualized lessons for children and adults!",From Canada,"Living in Toronto, Canada (05:10 UTC-05:00)",5.0,179,"1,020",100%,100%,USD 6.00,"⭐️ I have lots of experience teaching children of all ages and levels
⭐️ I am very patient 
🌟 My goal is to encourage my students to feel confident when speaking in English. So we will have a lot of conversation practice
🌟 I believe in student-led learning 
🌟 My accent is neutral and easy to understand","I provide lessons that focus on conversation where we practice speaking about different topics that interest you in English and discuss any questions you may have about: grammar, syntax or vocabulary. I can also provide more structured lessons that follow a course book and provide you with more specific exercises to improve your English ability. I also offer English lessons for young learners. I use many different materials in my lessons such as: articles, videos and games! In trial lessons I get to know you and your goals and we can talk about which option is best for you.","2016 - 2019
Piano Instructor Self Employed
Self Employed - Toronto, Canada
I taught piano to beginner learners for three years. In doing so I employed a mixed curriculum using both coursebooks  but also resources I created myself to improve the learners experience, I also encouraged regular practice while also providing regular feedback on how to fix mistakes and improve. All of these skills will be helpful in language instruction as well.
2021 - 2021
Volunteer Event Host Duolingo",88 Reviews
https://www.italki.com/en/teacher/8544239/english,PROFESSIONAL TEACHER,"Teaches
English
Native",['Korean'],"Hi! I am a native English teacher from a small town in England called Colchester. I am currently living in Daegu, South Korea, and before that I lived in Poland, China, and Cambodia. I studied Media Production at the University of Winchester, which was a course based heavily around film making, so of course this is a big passion of mine. As well as film, my other hobbies include playing and watching football, running, cycling, reading, and of course travel. I have traveled to 35 different countries so far, and I look forward to adding more to the list in the future.","italki teacher since Jul 27, 2021","Hi! I am a native English teacher from a small town in England called Colchester. I am currently living in Daegu, South Korea, and before that I lived in Poland, China, and Cambodia. I studied Media Production at the University of Winchester, which was a course based heavily around film making, so of course this is a big passion of mine. As well as film, my other hobbies include playing and watching football, running, cycling, reading, and of course travel. I have traveled to 35 different countries so far, and I look forward to adding more to the list in the future.",From United Kingdom,"Living in Daegu, Republic of Korea (19:10 UTC+09:00)",5.0,10,88,100%,100%,USD 10.00,"I am a teacher by profession and have been working as an English teacher in language schools for the past nine years. During that time I have taught in the UK, Poland, China, Cambodia, and South Korea. I have experience of teaching children and adults, as well as some experience in exam preparation (IELTS), and business English. I have also taught a variety of diploma courses in subjects such as music, the environment, critical thinking, and film studies. Teaching is a real passion of mine and I really love to see students achieve their goals.","I like to make my lessons enjoyable as well as engaging. I am a patient teacher so you don't need to be stressed about making mistakes; I will correct you and also explain the reasons why I am correcting you. I inspire confidence in my students and love to see them make improvements. I can tailor make a lesson to suit you, so if you let me know what you want to achieve then I can put together unique lesson plans to suit your needs.",,1 Review
https://www.italki.com/en/teacher/6539711/english,COMMUNITY TUTOR,"Teaches
English
Native","['Jamaican Creole', 'Other']","Hi everyone,

I am Rosie, a native English speaker from the island of Jamaica. Fo over 3 years i have assited non-native speakers master the Engish Language. My professional backgroud is in Marketing an I possess a Bachelor's degree in Marketing Communications. I also hold a TESOL certification, this makes me qualified to teach English professionally. 

For the past 5 years, I have assisted companies with landing business deals in the Caribbean. Similarly, i can help you master your English Language goals. 

Check out my Instagram  @rosetalksenglish for more information.","italki teacher since Jan 5, 2022",TESOL Certified English Teacher |Over three years of experience | Lets make learning fun!,From Jamaica,"Living in Kingston, Jamaica (05:11 UTC-05:00)",4.9,10,53,100%,98%,USD 5.00,"Do you wish to improve your English or simply learn English terms for an upcoming trip or to better communicate with your teammates? Let me help you make a lasting impression. 

My background in Marketing provides me with the skills needed to make learning fun! I am patient and here to work with you, at your pace. 

I also possess a TESOL certification; this makes me qualified to teach English as a second language to non-native speakers. 

Let's have fun learning English.","I am a natural English speaker, so common words and phrases come to me easily.

To make our sessions more enjoyable, I will create lessons to meet your pace and professional /social needs.","120 Hour TESOL Certificate Course International Open Academy 2021
Certificate uploaded",2 Reviews
https://www.italki.com/en/teacher/9973436/english,COMMUNITY TUTOR,"Teaches
English
Native
Swahili
Native",['Other'],"My name is Allan from Nairobi Kenya, East Africa to the world! I love reading, journaling, meditation, socializing and making new friends. I am a fluent, native speaker of English and Swahili languages. Teaching is my passion and I can't wait to see you in my class. Thank you.","italki teacher since Aug 9, 2022","Patient and creative, native English and Swahili teacher with 2 years of online teaching experience.",From Kenya,"Living in Nairobi, Kenya (13:11 UTC+03:00)",4.9,1,15,100%,100%,USD 5.00,"I am a trained teacher of English language and Literature with over 14 years experience in classroom teaching and instruction and now on Italki as an online teacher of English and Swahili languages for kids, teens and adults. I am a patient, creative and understanding teacher. I use learner centered approach in all my lessons that enables you to learn at your own pace from known to unknown, one lesson at a time. See you in my class soon. Thank you.","I purpose to create a customized fun learning environment that suits the individual needs of all my learners regardless of their age, background and language learning level in either English or Swahili. I achieve this by using real life scenario-based conversation practice, reading comprehension, pronunciation drills, report writing, grammar and vocabulary practice among others. My overall objective is making you a confident, competent and fluent speaker of either English or Swahili language from Foundational/Beginner Level (A1) all the way to Proficiency Level (C2), one lesson at a time. Book a trial lesson with me today and let’s get started. Thank you for viewing my teaching profile.",,2 Reviews
https://www.italki.com/en/teacher/6276595/english,COMMUNITY TUTOR,"Teaches
English
Native",['French'],"I have recently entered English language tutoring to help others learn beginning to advanced English skills. My college degree is in electrical engineering, and over the past 25 years I have worked for Fortune 500 companies in engineering, marketing and business development. My side interests are music - performing and playing vintage electric guitars through old tube amps - as well as restoring cars (BMWs and Porsches), film, travel, cartography, architecture and history.","italki teacher since Jun 7, 2019","I have recently entered English language tutoring to help others learn beginning to advanced English skills. My college degree is in electrical engineering, and over the past 25 years I have worked for Fortune 500 companies in engineering, marketing and business development. My side interests are music - performing and playing vintage electric guitars through old tube amps - as well as restoring cars (BMWs and Porsches), film, travel, cartography, architecture and history.",From United States,"Living in Phoenix, United States (03:11 UTC-07:00)",5.0,272,"1,892",100%,100%,USD 7.00,,,,
https://www.italki.com/en/teacher/3406991/english,PROFESSIONAL TEACHER,"Teaches
English
Native","['Spanish', 'French', 'Italian', 'Portuguese']","¡Hola y bienvenido! Mi nombre es Matias Sandonato. Yo soy de Melbourne, Australia. Tengo el TEFL para enseñar inglés como lengua extranjera. Amo aprender y hablar sobre idiomas. Hablo inglés y español. Estudio francés e italiano en la universidad, aquí en Meblourne.

Hello and welcome! My name is Matias Sandonato. I'm from Melbourne, Australia. I am TEFL certified. I love learning and talking about languages. I speak English and Spanish. I study French and Italian at university, here in Melbourne.","italki teacher since Jan 4, 2022",TEFL certified teacher for over 5 years,From Australia,"Living in Melbourne, Australia (07:11 UTC-03:00)",5.0,49,232,100%,98%,USD 6.00,"> Teaching since 2017
> Personalized, Fun and dynamic classes based on your interests and needs
> Lots of relevant and functional material
> Weekly progress checks through a shared drive/folder

> Enseñando desde 2017
> Clases personalizadas, divertidas y dinámicas en función de tus intereses y necesidades
> Gran cantidad de material relevante y funcional
> Verificaciones de progreso semanales a través de un Drive/carpeta compartida","I keep my material as relevant as possible and enjoy building my classes around the student’s needs. I believe it is essential for language learners to incorporate the target language into their everyday life outside of class, which is why I will always recommend some short clips and podcasts to listen to, to keep the brain active.

Hago que mi material sea lo más relevante posible y disfruto constrir mis clases en base a las necesidades del estudiante. Creo que es esencial que los estudiantes de idiomas incorporen el idioma en su vida cotidiana fuera de clase, por lo que siempre recomendaré algunos clips cortos y podcasts para escuchar, para mantener el cerebro activo.","2017 - 2019
ESL Teacher Independent freelance teacher
Independent freelance teacher - Buenos Aires, Argentina
In Argentina, I was simultaneously working for over five institutes in over 30 companies across Buenos Aires. Companies such as Nike and Viacom, as well as many national brands. This experience has taught me how to work with different learners and learning styles across different fields of work.",10 Reviews
https://www.italki.com/en/teacher/9105507/english,COMMUNITY TUTOR,"Teaches
English
Native","['Afrikaans', 'Other']","My name is Maggie and I am from South Africa. I have a TEFL certificate, and  one year online teaching experience. My interests include reading, writing, gardening (especially growing roses), baking, listening to music, watching stand up comedy on Youtube, and of course, chatting to my lovely students online :-) One of the areas in which I specialise is Speaking Practise for IELTS exam preparation. I offer a thirty minute lesson where you can fit in a quick round of oral questions from past exam papers.","italki teacher since Jun 23, 2021",Can I help you with your IELTS speaking practise. Certified TEFL teacher.,From South Africa,"Living in Klerksdorp, South Africa (12:11 UTC+02:00)",5.0,88,210,100%,100%,USD 8.00,"My favourite classes of all are the chatty, conversational ones. I would describe myself as patient. I enjoy correcting grammatical mistakes or pronunciation errors.","My classes are open ended. I take my cue from the student about what they would prefer to do, be it grammar, speaking practise or just plain old conversation.",,27 Reviews
https://www.italki.com/en/teacher/10617006/english,COMMUNITY TUTOR,"Teaches
English
Native","['French', 'Other', 'Spanish']","Hi, my name is Eoghan. I am a native English speaker from Ireland. I have over 20 years of experience working in Education, Healthcare & Business. This has included roles such as Psychologist, Researcher, IT Project Manager, Trainer and Teacher.

I enjoy sports, arts and culture, travel, movies, comedy and reading.","italki teacher since Oct 19, 2021","Friendly ""Cambridge English"" Examiner with a *5* star rating as a Teacher",From Ireland,"Living in Galway, Ireland (13:11 UTC+03:00)",5.0,30,155,100%,99%,USD 10.00,"I have been teaching English for several years in one-to-one, online and in private/public schools and unversities. I am also a certified Cambridge English Examiner. 

My aim is to provide you with a professional and friendly service. I am very focused on each students specific learning goals and take great care to ensure that each student is satisfied with the time they invest in learning  and improving their English with me.","My lessons on iTalki are based on each individual student's current level of English speaking ability, their areas of interest, and their learning goals. Lessons can vary from a free-flowing conversational format to a more structured content-focused approach. The focus of lessons can be on cultural, scientific, academic, or business-related topics as well as preparing for exams. 

While I always aim to provide a professional service I also believe that learning should and can be enjoyable so I always try to make my lessons fun for my students.",,11 Reviews
https://www.italki.com/en/teacher/10309706/english,COMMUNITY TUTOR,"Teaches
English
Native","['Spanish', 'Other']","Hi! My name is Neenah! I am from America, but now I live in Spain with my family. I am a native English speaker who is TEFL certificated. Also, I can speak conversational Spanish. I am optimistic, patient, and enjoy meeting new people.  I love to dance, paint, do crafts, spend time with family, play volleyball, and travel. I also like to volunteer through community service.","italki teacher since Sep 3, 2021","Hi! My name is Neenah! I am from America, but now I live in Spain with my family. I am a native English speaker who is TEFL certificated. Also, I can speak conversational Spanish. I am optimistic, patient, and enjoy meeting new people.  I love to dance, paint, do crafts, spend time with family, play volleyball, and travel. I also like to volunteer through community service.",From United States,"Living in Valencia, Spain (11:11 UTC+01:00)",5.0,259,"1,652",100%,100%,USD 6.50,"From my experience teaching English to children from Spain over the summer and putting together dance performances at my school for 3 years, I learned the value of adapting to individual needs to optimized the outcome. I try to ensure an environment where mistakes and questions are expected and accepted. I enjoy being able to help those around me, and I understand the importance of patience and consistency. Mistakes are nothing to worry about because it is all about a part of learning.","My lessons will be relaxed and at the students' speed. First, I would like to know the student's needs, problem areas, concerns, or strengths. By doing this, I will know what the student's needs are, which will guide me to tailor the conversation to help in those areas.  I teach conversational English, which will develop students' idiomatic phrases, verbal communication, listening skills, and confidence. Hopefully, in our classes, you will feel more confident in your English-speaking journey.",,149 Reviews
